Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Bruno Nascimento,2023-04-16,Sun,Série A,Matchweek 1,Away,L 1–2,Cruzeiro,Corinthians,Y,Centroavante,90,0,0,0,0,2,1,0,0,54,1,0,1,0.1,0.1,0.1,2,0,27,37,73.0,6,31,3,8,2,Match Report
Bruno Nascimento,2023-04-22,Sat,Série A,Matchweek 2,Home,W 1–0,Cruzeiro,Grêmio,Y,Centroavante,90,1,0,0,0,4,3,0,0,59,1,0,0,0.3,0.3,0.1,4,0,33,46,71.7,4,42,5,4,1,Match Report
Bruno Nascimento,2023-04-29,Sat,Série A,Matchweek 3,Away,W 3–0,Cruzeiro,Bragantino,Y,Centroavante,90,1,0,0,0,5,2,0,0,69,3,0,4,0.3,0.3,0.1,7,1,32,43,74.4,5,30,5,7,3,Match Report
Bruno Nascimento,2023-05-06,Sat,Série A,Matchweek 4,Home,W 2–1,Cruzeiro,Santos,Y,Centroavante,90,0,0,0,0,1,0,0,0,53,0,0,1,0.0,0.0,0.1,3,0,36,47,76.6,6,35,3,4,2,Match Report
Bruno Nascimento,2023-05-10,Wed,Série A,Matchweek 5,Home,L 0–2,Cruzeiro,Fluminense,Y,Centroavante,90,0,0,0,1,5,2,0,0,63,1,0,1,1.0,0.2,0.2,5,0,40,47,85.1,6,34,5,5,4,Match Report
Bruno Nascimento,2023-05-14,Sun,Série A,Matchweek 6,Away,W 4–0,Cruzeiro,América (MG),Y,Centroavante,90,0,1,0,0,3,1,0,0,54,0,1,0,0.3,0.3,0.8,4,1,34,42,81.0,7,42,11,7,5,Match Report
Bruno Nascimento,2023-05-22,Mon,Série A,Matchweek 7,Home,L 0–1,Cruzeiro,Cuiabá,Y,Centroavante,90,0,0,0,0,3,1,0,0,58,0,0,2,0.1,0.1,0.1,5,0,33,46,71.7,3,43,6,6,4,Match Report
Bruno Nascimento,2023-05-27,Sat,Série A,Matchweek 8,Away,D 1–1,Cruzeiro,Flamengo,Y,Centroavante,90,0,1,0,0,2,1,0,0,42,1,1,3,0.1,0.1,0.2,5,1,15,24,62.5,4,24,3,2,1,Match Report
Bruno Nascimento,2023-06-03,Sat,Série A,Matchweek 9,Home,L 0–1,Cruzeiro,Atlético Mineiro,Y,Centroavante,90,0,0,0,0,2,0,0,0,42,0,0,1,0.1,0.1,0.1,4,0,21,29,72.4,6,31,2,2,1,Match Report
Bruno Nascimento,2023-06-10,Sat,Série A,Matchweek 10,Away,D 2–2,Cruzeiro,Bahia,Y,Centroavante,90,1,0,0,0,6,2,0,0,42,2,1,0,0.6,0.6,0.0,2,1,18,26,69.2,3,30,4,5,2,Match Report
Bruno Nascimento,2023-06-21,Wed,Série A,Matchweek 11,Home,L 0–1,Cruzeiro,Fortaleza,Y,Centroavante,90,0,0,0,0,2,1,0,0,56,1,2,0,0.5,0.5,0.2,4,0,24,44,54.5,5,31,4,4,2,Match Report
Bruno Nascimento,2023-06-24,Sat,Série A,Matchweek 12,Home,W 1–0,Cruzeiro,São Paulo,Y,Centroavante,90,0,0,0,0,2,0,0,0,49,0,0,2,0.1,0.1,0.2,3,0,22,34,64.7,4,32,5,8,2,Match Report
Bruno Nascimento,2023-07-01,Sat,Série A,Matchweek 13,Away,D 0–0,Cruzeiro,Internacional,Y,Centroavante,89,0,0,0,0,1,0,1,0,32,0,0,0,0.0,0.0,0.1,4,0,13,21,61.9,5,23,2,4,3,Match Report
Bruno Nascimento,2023-07-08,Sat,Série A,Matchweek 14,Away,W 1–0,Cruzeiro,Vasco da Gama,Y,Centroavante,90,0,0,0,0,1,1,0,0,35,0,0,2,0.4,0.4,0.0,2,0,14,24,58.3,0,20,6,2,1,Match Report
Bruno Nascimento,2023-07-16,Sun,Série A,Matchweek 15,Home,D 0–0,Cruzeiro,Coritiba,Y,Centroavante,90,0,0,0,0,2,0,0,0,35,2,0,1,0.1,0.1,0.0,3,0,9,22,40.9,0,26,3,2,0,Match Report
Bruno Nascimento,2023-07-23,Sun,Série A,Matchweek 16,Home,L 0–1,Cruzeiro,Goiás,Y,Centroavante,90,0,0,0,0,2,0,1,0,66,2,0,1,0.0,0.0,0.1,7,0,34,49,69.4,9,40,4,7,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Nascimento,2023-08-14,Mon,Série A,Matchweek 19,Away,L 0–1,Cruzeiro,Palmeiras,N,Centroavante,24,0,0,0,0,2,1,0,0,16,0,0,0,0.0,0.0,0.0,1,0,13,14,92.9,1,12,1,1,1,Match Report
Bruno Nascimento,2023-08-19,Sat,Série A,Matchweek 20,Home,D 1–1,Cruzeiro,Corinthians,Y,Centroavante,81,0,1,0,0,2,0,0,0,49,1,2,1,0.1,0.1,0.6,6,1,24,35,68.6,6,20,0,5,2,Match Report
Bruno Nascimento,2023-08-27,Sun,Série A,Matchweek 21,Away,L 0–3,Cruzeiro,Grêmio,N,Centroavante,29,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.1,1,0,9,13,69.2,2,6,1,0,0,Match Report
