Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Deyverson,2023-04-15,Sat,Série A,Matchweek 1,Away,L 1–2,Cuiabá,Palmeiras,Y,Centroavante,72,0,0,0,0,3,0,1,0,31,0,1,0,0.4,0.4,0.1,4,1,13,22,59.1,3,15,0,2,1,Match Report
Deyverson,2023-04-22,Sat,Série A,Matchweek 2,Home,D 1–1,Cuiabá,Bragantino,Y,Centroavante,86,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,5,16,31.3,2,8,1,2,1,Match Report
Deyverson,2023-04-30,Sun,Série A,Matchweek 3,Home,L 1–2,Cuiabá,Grêmio,Y,Centroavante,90,0,0,0,0,5,1,1,0,33,0,0,0,0.3,0.3,0.0,0,0,10,22,45.5,2,14,1,2,0,Match Report
Deyverson,2023-05-07,Sun,Série A,Matchweek 4,Away,W 2–1,Cuiabá,América (MG),Y,Centroavante,71,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,3,0,7,19,36.8,1,9,0,1,0,Match Report
Deyverson,2023-05-10,Wed,Série A,Matchweek 5,Home,L 0–4,Cuiabá,Atlético Mineiro,N,Centroavante,27,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,7,0,1,1,Match Report
Deyverson,2023-05-13,Sat,Série A,Matchweek 6,Away,L 0–2,Cuiabá,Fluminense,Y,Centroavante,74,0,0,0,0,2,0,0,0,25,0,0,0,0.4,0.4,0.1,3,0,13,19,68.4,1,15,0,1,1,Match Report
Deyverson,2023-05-22,Mon,Série A,Matchweek 7,Away,W 1–0,Cuiabá,Cruzeiro,Y,Centroavante,81,1,0,0,0,3,1,0,0,30,0,1,0,0.6,0.6,0.0,2,0,13,20,65.0,2,13,1,4,2,Match Report
Deyverson,2023-05-27,Sat,Série A,Matchweek 8,Home,D 1–1,Cuiabá,Coritiba,Y,Centroavante,90,0,0,0,0,1,0,0,0,33,0,0,0,0.2,0.2,0.0,0,0,11,23,47.8,3,15,2,2,1,Match Report
Deyverson,2023-06-04,Sun,Série A,Matchweek 9,Away,W 1–0,Cuiabá,Goiás,Y,Centroavante,82,1,0,0,0,4,3,0,0,24,0,0,0,0.8,0.8,0.0,1,0,9,14,64.3,3,14,1,1,0,Match Report
Deyverson,2023-06-10,Sat,Série A,Matchweek 10,Away,D 1–1,Cuiabá,Corinthians,Y,Centroavante,78,1,0,0,0,2,1,1,0,35,0,0,0,0.3,0.3,0.0,0,0,13,21,61.9,2,18,0,0,0,Match Report
