Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Eduardo Sasha,2023-02-22,Wed,Libertadores,Second qualifying stage,Away,D 0–0,br Atlético Mineiro,ve Carabobo,N,Centroavante,30,0,0,0,0,2,0,0,0,12,2,0,0,0.1,0.1,0.0,2,0,2,7,28.6,0,5,0,0,0,Match Report
Eduardo Sasha,2023-04-06,Thu,Sudamericana,Group stage,Away,W 4–1,br Bragantino,py Tacuary,N,Centroavante,15,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Eduardo Sasha,2023-04-15,Sat,Série A,Matchweek 1,Home,W 2–1,Bragantino,Bahia,N,Centroavante,28,1,0,0,0,1,1,0,0,17,0,2,0,0.5,0.5,0.4,1,0,8,12,66.7,0,12,0,0,0,Match Report
Eduardo Sasha,2023-04-18,Tue,Sudamericana,Group stage,Home,W 5–0,br Bragantino,bo Oriente Petrolero,Y,Centroavante,72,1,2,1,1,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Eduardo Sasha,2023-04-22,Sat,Série A,Matchweek 2,Away,D 1–1,Bragantino,Cuiabá,Y,Centroavante,90,0,0,0,0,2,0,0,0,29,0,1,0,0.1,0.1,0.6,3,0,21,25,84.0,2,26,1,1,1,Match Report
Eduardo Sasha,2023-04-29,Sat,Série A,Matchweek 3,Home,L 0–3,Bragantino,Cruzeiro,Y,Centroavante,45,0,0,0,0,1,0,0,0,13,0,0,0,0.5,0.5,0.1,1,0,7,8,87.5,3,8,0,2,1,Match Report
Eduardo Sasha,2023-05-02,Tue,Sudamericana,Group stage,Home,D 0–0,br Bragantino,ar Estudiantes,N,Centroavante,27,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Eduardo Sasha,2023-05-07,Sun,Série A,Matchweek 4,Away,D 3–3,Bragantino,Grêmio,Y,Centroavante,90,1,0,0,0,3,1,0,0,48,0,0,0,0.3,0.3,0.0,4,1,26,39,66.7,2,21,2,3,2,Match Report
Eduardo Sasha,2023-05-10,Wed,Série A,Matchweek 5,Home,D 2–2,Bragantino,América (MG),Y,Centroavante,45,0,0,0,0,1,0,1,0,15,0,0,1,0.2,0.2,0.3,3,0,6,9,66.7,0,6,0,0,0,Match Report
Eduardo Sasha,2023-05-13,Sat,Série A,Matchweek 6,Away,D 1–1,Bragantino,Palmeiras,Y,Centroavante,90,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.3,2,0,19,24,79.2,4,16,0,0,0,Match Report
