Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Endrick,2023-04-15,Sat,Série A,Matchweek 1,Home,W 2–1,Palmeiras,Cuiabá,Y,Centroavante,60,1,0,0,0,2,1,0,0,18,0,0,0,1.2,1.2,0.0,2,0,4,5,80.0,1,14,0,5,3,Match Report
Endrick,2023-04-20,Thu,Libertadores,Group stage,Home,W 2–1,br Palmeiras,py Cerro Porteño,N,Centroavante,36,0,0,0,0,2,1,0,0,15,0,0,1,0.1,0.1,0.0,0,0,2,6,33.3,0,8,2,3,2,Match Report
Endrick,2023-04-23,Sun,Série A,Matchweek 2,Away,D 2–2,Palmeiras,Vasco da Gama,N,Centroavante,22,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,2,5,40.0,1,9,3,5,2,Match Report
Endrick,2023-05-07,Sun,Série A,Matchweek 4,Away,W 5–0,Palmeiras,Goiás,N,Centroavante,26,1,0,0,0,1,1,1,0,10,0,0,0,0.5,0.5,0.0,0,0,6,6,100.0,1,8,0,2,0,Match Report
Endrick,2023-05-10,Wed,Série A,Matchweek 5,Home,W 4–1,Palmeiras,Grêmio,N,Centroavante,14,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Match Report
Endrick,2023-05-13,Sat,Série A,Matchweek 6,Home,D 1–1,Palmeiras,Bragantino,N,Centroavante,28,0,0,0,0,1,1,0,0,13,1,0,0,0.1,0.1,0.0,0,0,5,8,62.5,0,8,0,1,0,Match Report
Endrick,2023-05-20,Sat,Série A,Matchweek 7,Away,D 0–0,Palmeiras,Santos,N,Centroavante,29,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,5,0,0,0,Match Report
Endrick,2023-05-28,Sun,Série A,Matchweek 8,Away,D 1–1,Palmeiras,Atlético Mineiro,N,Centroavante,10,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,Match Report
Endrick,2023-06-07,Wed,Libertadores,Group stage,Home,W 4–2,br Palmeiras,ec Barcelona SC,N,Centroavante,7,1,0,0,0,1,1,0,0,4,1,0,0,0.5,0.5,0.0,1,0,1,1,100.0,1,2,0,2,0,Match Report
Endrick,2023-06-11,Sun,Série A,Matchweek 10,Away,W 2–0,Palmeiras,São Paulo,N,Centroavante,22,1,0,0,0,1,1,0,0,10,1,0,0,0.2,0.2,0.1,1,0,2,3,66.7,1,5,2,1,0,Match Report
Endrick,2023-06-21,Wed,Série A,Matchweek 11,Away,L 0–1,Palmeiras,Bahia,Y,Centroavante,71,0,0,0,0,2,0,1,0,16,2,0,0,0.3,0.3,0.1,1,0,4,8,50.0,0,10,2,2,0,Match Report
