Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Enner Valencia,2023-01-08,Sun,Süper Lig,Matchweek 18,Home,L 0–3,Fenerbahçe,Galatasaray,N,Centroavante,22,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-01-15,Sun,Süper Lig,Matchweek 19,Away,W 2–1,Fenerbahçe,Gaziantep FK,Y,Centroavante,90,2,0,0,0,8,4,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-01-23,Mon,Süper Lig,Matchweek 20,Away,W 2–1,Fenerbahçe,Ümraniyespor,Y,Centroavante,90,0,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-01-29,Sun,Süper Lig,Matchweek 21,Home,W 5–1,Fenerbahçe,Kasımpaşa,Y,Centroavante,82,4,0,1,1,7,5,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-02-02,Thu,Süper Lig,Matchweek 22,Away,D 1–1,Fenerbahçe,Adana Demirspor,Y,Centroavante,90,1,0,0,0,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-02-25,Sat,Süper Lig,Matchweek 23,Home,W 4–0,Fenerbahçe,Konyaspor,Y,Centroavante,90,2,0,1,1,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-03-04,Sat,Süper Lig,Matchweek 24,Away,W 2–1,Fenerbahçe,Kayserispor,Y,Centroavante,86,1,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-03-09,Thu,Europa Lg,Round of 16,Away,L 0–2,tr Fenerbahçe,es Sevilla,Y,Centroavante,81,0,0,0,0,4,2,0,0,31,0,0,0,0.2,0.2,0.4,2,0,17,22,77.3,2,21,3,2,2,Match Report
Enner Valencia,2023-03-16,Thu,Europa Lg,Round of 16,Home,W 1–0,tr Fenerbahçe,es Sevilla,Y,Centroavante,90,1,0,1,1,3,1,0,0,35,0,0,1,1.0,0.2,0.0,1,0,18,23,78.3,1,21,4,5,4,Match Report
Enner Valencia,2023-03-19,Sun,Süper Lig,Matchweek 26,Away,W 3–1,Fenerbahçe,Alanyaspor,Y,Centroavante,90,2,0,2,2,6,3,1,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-04-02,Sun,Süper Lig,Matchweek 27,Home,L 2–4,Fenerbahçe,Beşiktaş,Y,Centroavante,90,1,0,1,2,6,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-04-10,Mon,Süper Lig,Matchweek 28,Away,W 2–1,Fenerbahçe,Fatih Karagümrük,Y,Centroavante,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-04-15,Sat,Süper Lig,Matchweek 29,Home,W 2–1,Fenerbahçe,Ankaragücü,Y*,Centroavante,90,1,0,1,1,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-04-19,Wed,Süper Lig,Matchweek 30,Away,W 2–1,Fenerbahçe,Başakşehir,Y*,Centroavante,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-04-24,Mon,Süper Lig,Matchweek 31,Home,D 3–3,Fenerbahçe,İstanbulspor,Y,Centroavante,90,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-04-29,Sat,Süper Lig,Matchweek 32,Away,W 3–1,Fenerbahçe,Sivasspor,Y*,Centroavante,13,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-05-07,Sun,Süper Lig,Matchweek 33,Away,D 1–1,Fenerbahçe,Giresunspor,Y,Centroavante,59,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-05-18,Thu,Süper Lig,Matchweek 34,Home,W 3–1,Fenerbahçe,Trabzonspor,Y*,Centroavante,71,1,0,0,0,4,2,0,0,,,2,,,,,,,,,,,,,,,Match Report
Enner Valencia,,,,,,,,,,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enner Valencia,2023-05-30,Tue,Süper Lig,Matchweek 36,Home,W 2–0,Fenerbahçe,Antalyaspor,Y*,Centroavante,67,1,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-06-04,Sun,Süper Lig,Matchweek 37,Away,L 0–3,Fenerbahçe,Galatasaray,Y*,Centroavante,75,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-06-17,Sat,Friendlies (M),Friendlies (M),Neutral,W 1–0,ec Ecuador,bo Bolivia,N,Centroavante,37,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-06-20,Tue,Friendlies (M),Friendlies (M),Neutral,W 3–1,ec Ecuador,cr Costa Rica,Y*,Centroavante,78,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
Enner Valencia,2023-07-09,Sun,Série A,Matchweek 14,Away,L 0–2,Internacional,Fluminense,Y,Centroavante,45,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,10,1,4,0,Match Report
Enner Valencia,2023-07-16,Sun,Série A,Matchweek 15,Home,D 0–0,Internacional,Palmeiras,Y,Centroavante,89,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0.2,5,0,12,16,75.0,1,20,3,6,2,Match Report
Enner Valencia,2023-07-23,Sun,Série A,Matchweek 16,Away,D 0–0,Internacional,Bragantino,Y,Centroavante,90,0,0,0,0,6,2,0,0,36,2,0,1,0.5,0.5,0.1,1,0,6,11,54.5,3,22,6,2,0,Match Report
