Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Everaldo Stum,2023-04-15,Sat,Série A,Matchweek 1,Away,L 1–2,Bahia,Bragantino,Y,Centroavante,90,1,0,0,0,2,1,0,0,35,1,0,1,0.2,0.2,0.0,0,0,12,18,66.7,3,16,0,1,0,Match Report
Everaldo Stum,2023-04-24,Mon,Série A,Matchweek 2,Home,L 1–2,Bahia,Botafogo (RJ),Y*,Centroavante,73,0,0,0,0,1,1,0,0,24,0,0,0,0.0,0.0,0.1,1,0,11,16,68.8,2,10,0,1,1,Match Report
Everaldo Stum,2023-05-01,Mon,Série A,Matchweek 3,Away,W 1–0,Bahia,Vasco da Gama,Y,Centroavante,66,0,0,0,0,1,0,0,0,20,0,1,0,0.1,0.1,0.2,4,0,9,14,64.3,5,15,2,2,1,Match Report
Everaldo Stum,2023-05-07,Sun,Série A,Matchweek 4,Home,W 3–1,Bahia,Coritiba,Y,Centroavante,60,0,0,0,0,2,1,0,0,19,0,0,1,0.1,0.1,0.0,1,0,7,14,50.0,0,8,0,2,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everaldo Stum,2023-05-20,Sat,Série A,Matchweek 7,Home,D 1–1,Bahia,Goiás,Y*,Centroavante,90,1,0,0,0,3,1,0,0,35,0,0,0,0.5,0.5,0.4,9,1,19,25,76.0,3,17,2,4,3,Match Report
Everaldo Stum,2023-05-28,Sun,Série A,Matchweek 8,Away,L 0–2,Bahia,Internacional,Y,Centroavante,80,0,0,0,0,2,2,1,0,22,1,0,0,0.1,0.1,0.0,1,0,8,16,50.0,3,5,0,0,0,Match Report
Everaldo Stum,2023-06-03,Sat,Série A,Matchweek 9,Away,D 0–0,Bahia,Fortaleza,Y,Centroavante,85,0,0,0,0,1,0,1,0,22,0,0,0,0.0,0.0,0.0,0,0,8,15,53.3,3,10,1,1,0,Match Report
Everaldo Stum,2023-06-10,Sat,Série A,Matchweek 10,Home,D 2–2,Bahia,Cruzeiro,Y,Centroavante,75,0,0,0,0,1,0,0,0,12,0,0,1,0.1,0.1,0.0,1,0,4,7,57.1,1,3,1,1,1,Match Report
Everaldo Stum,2023-06-21,Wed,Série A,Matchweek 11,Home,W 1–0,Bahia,Palmeiras,N,Centroavante,25,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.1,1,0,6,12,50.0,1,15,1,1,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everaldo Stum,2023-07-01,Sat,Série A,Matchweek 13,Home,L 1–2,Bahia,Grêmio,N,Centroavante,15,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,3,6,50.0,1,2,0,0,0,Match Report
Everaldo Stum,2023-07-08,Sat,Série A,Matchweek 14,Away,D 1–1,Bahia,Cuiabá,N,Centroavante,24,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,4,10,40.0,1,6,0,2,0,Match Report
Everaldo Stum,2023-07-16,Sun,Série A,Matchweek 15,Away,L 0–2,Bahia,Ath Paranaense,Y,Centroavante,90,0,0,0,0,1,1,1,0,18,0,0,0,0.0,0.0,0.1,2,0,10,12,83.3,3,12,1,1,0,Match Report
Everaldo Stum,2023-07-22,Sat,Série A,Matchweek 16,Home,D 0–0,Bahia,Corinthians,Y,Centroavante,77,0,0,0,0,1,0,0,0,18,1,0,1,0.0,0.0,0.1,1,0,5,12,41.7,2,5,2,1,1,Match Report
Everaldo Stum,2023-07-30,Sun,Série A,Matchweek 17,Away,D 0–0,Bahia,São Paulo,N,Centroavante,1,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,1,1,0,0,Match Report
Everaldo Stum,2023-08-06,Sun,Série A,Matchweek 18,Home,W 3–1,Bahia,América (MG),Y,Centroavante,90,1,0,0,0,4,1,0,0,30,0,0,0,0.4,0.4,0.0,1,0,9,17,52.9,0,25,3,2,0,Match Report
Everaldo Stum,2023-08-13,Sun,Série A,Matchweek 19,Away,L 0–1,Bahia,Atlético Mineiro,Y,Centroavante,83,0,0,0,0,2,1,0,0,14,0,0,0,0.1,0.1,0.1,0,0,7,11,63.6,1,5,0,0,0,Match Report
Everaldo Stum,2023-08-20,Sun,Série A,Matchweek 20,Home,W 4–0,Bahia,Bragantino,N,Centroavante,26,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,1,1,6,10,60.0,3,9,0,2,1,Match Report
Everaldo Stum,2023-08-27,Sun,Série A,Matchweek 21,Away,L 0–3,Bahia,Botafogo (RJ),N,Centroavante,15,0,0,0,0,3,1,0,0,10,0,0,0,0.4,0.4,0.1,4,0,6,7,85.7,2,5,0,0,0,Match Report
Everaldo Stum,2023-09-03,Sun,Série A,Matchweek 22,Home,D 1–1,Bahia,Vasco da Gama,Y,Centroavante,90,0,0,0,0,3,0,0,0,26,1,0,2,0.4,0.4,0.0,1,1,10,15,66.7,1,16,2,1,0,Match Report
Everaldo Stum,2023-09-14,Thu,Série A,Matchweek 23,Away,W 4–2,Bahia,Coritiba,Y,Centroavante,90,0,0,0,0,4,1,0,0,33,0,0,0,0.5,0.5,0.0,4,1,14,24,58.3,4,16,1,0,0,Match Report
