Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Germán Cano,2023-04-05,Wed,Libertadores,Group stage,Away,W 3–1,br Fluminense,pe Sporting Cristal,Y,Centroavante,77,2,0,0,0,8,4,0,0,30,0,0,0,1.7,1.7,1.1,5,0,14,19,73.7,2,13,2,2,2,Match Report
Germán Cano,2023-04-15,Sat,Série A,Matchweek 1,Away,W 3–0,Fluminense,América (MG),Y,Centroavante,77,1,0,0,1,3,1,0,0,25,1,1,1,1.7,0.9,0.2,2,1,11,15,73.3,0,12,2,0,0,Match Report
Germán Cano,2023-04-18,Tue,Libertadores,Group stage,Home,W 1–0,br Fluminense,bo The Strongest,Y,Centroavante,80,0,0,0,0,7,5,0,0,18,0,0,0,0.7,0.7,0.1,0,0,5,7,71.4,0,9,0,0,0,Match Report
Germán Cano,2023-04-22,Sat,Série A,Matchweek 2,Home,W 2–0,Fluminense,Ath Paranaense,Y,Centroavante,86,0,0,0,0,6,1,0,0,26,0,0,0,0.5,0.5,0.0,1,1,14,18,77.8,0,13,0,1,0,Match Report
Germán Cano,2023-04-29,Sat,Série A,Matchweek 3,Away,L 2–4,Fluminense,Fortaleza,N,Centroavante,27,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0,Match Report
Germán Cano,2023-05-02,Tue,Libertadores,Group stage,Home,W 5–1,br Fluminense,ar River Plate,Y,Centroavante,87,3,0,0,0,8,5,0,0,28,1,0,1,2.4,2.4,0.1,5,1,11,16,68.8,0,15,1,1,1,Match Report
Germán Cano,2023-05-06,Sat,Série A,Matchweek 4,Home,D 1–1,Fluminense,Vasco da Gama,Y,Centroavante,90,0,0,0,0,5,2,0,0,29,0,0,1,0.3,0.3,0.0,2,1,15,19,78.9,1,24,0,1,0,Match Report
Germán Cano,2023-05-10,Wed,Série A,Matchweek 5,Away,W 2–0,Fluminense,Cruzeiro,Y,Centroavante,81,1,0,0,0,2,2,0,0,21,0,0,2,0.4,0.4,0.0,1,0,9,12,75.0,2,9,1,0,0,Match Report
Germán Cano,2023-05-13,Sat,Série A,Matchweek 6,Home,W 2–0,Fluminense,Cuiabá,Y,Centroavante,90,0,0,0,0,2,0,0,0,21,2,1,1,0.3,0.3,0.0,1,1,13,16,81.3,1,15,0,0,0,Match Report
Germán Cano,2023-05-20,Sat,Série A,Matchweek 7,Away,L 0–1,Fluminense,Botafogo (RJ),Y,Centroavante,90,0,0,0,0,0,0,0,0,23,1,0,1,0.0,0.0,0.1,1,0,10,16,62.5,0,12,1,0,0,Match Report
