Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Gonzalo Mastriani,2023-04-05,Wed,Sudamericana,Group stage,Home,W 4–1,br América (MG),uy Peñarol,Y,Centroavante,66,2,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,2023-04-19,Wed,Sudamericana,Group stage,Away,L 1–2,br América (MG),ar Defensa y Just,Y,Centroavante,55,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,2023-05-03,Wed,Sudamericana,Group stage,Away,D 1–1,br América (MG),co Millonarios,N,Centroavante,14,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,,,,,,,,,,Centroavante,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Mastriani,2023-05-23,Tue,Sudamericana,Group stage,Home,L 2–3,br América (MG),ar Defensa y Just,Y,Centroavante,90,1,0,0,0,2,1,0,0,,,2,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,2023-05-28,Sun,Série A,Matchweek 8,Away,L 0–2,América (MG),Botafogo (RJ),N,Centroavante,29,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,5,0,0,0,Match Report
Gonzalo Mastriani,2023-06-03,Sat,Série A,Matchweek 9,Home,W 2–0,América (MG),Corinthians,Y,Centroavante,64,0,0,0,0,2,1,0,0,24,2,0,1,0.1,0.1,0.0,0,0,9,15,60.0,1,8,1,0,0,Match Report
Gonzalo Mastriani,2023-06-06,Tue,Sudamericana,Group stage,Home,W 2–0,br América (MG),co Millonarios,N,Centroavante,32,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Mastriani,2023-06-29,Thu,Sudamericana,Group stage,Away,W 2–1,br América (MG),uy Peñarol,Y,Centroavante,65,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,2023-07-02,Sun,Série A,Matchweek 13,Away,D 2–2,América (MG),Atlético Mineiro,N,Centroavante,52,2,0,0,0,4,2,0,0,15,0,0,0,0.8,0.8,0.0,0,0,3,4,75.0,0,2,0,0,0,Match Report
Gonzalo Mastriani,2023-07-11,Tue,Sudamericana,Knockout round play-offs,Away,L 1–2,br América (MG),cl Colo-Colo,Y,Centroavante,59,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,2023-07-18,Tue,Sudamericana,Knockout round play-offs,Home,W 5–1,br América (MG),cl Colo-Colo,Y,Centroavante,90,2,0,0,0,6,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
Gonzalo Mastriani,2023-07-22,Sat,Série A,Matchweek 16,Away,D 1–1,América (MG),Flamengo,Y,Centroavante,65,0,0,0,0,2,1,0,0,20,0,0,1,0.4,0.4,0.0,1,0,9,13,69.2,3,13,1,1,0,Match Report
Gonzalo Mastriani,2023-07-30,Sun,Série A,Matchweek 17,Home,L 1–4,América (MG),Palmeiras,Y,Centroavante,56,0,0,0,0,2,0,0,0,12,0,0,0,0.8,0.8,0.0,3,1,9,10,90.0,0,8,0,1,1,Match Report
Gonzalo Mastriani,2023-08-03,Thu,Sudamericana,Round of 16,Home,D 1–1,br América (MG),br Bragantino,N,Centroavante,33,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
