Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Hulk,2023-03-01,Wed,Libertadores,Second qualifying stage,Home,W 3–1,br Atlético Mineiro,ve Carabobo,Y*,Centroavante,90,1,0,0,0,1,1,1,0,35,0,0,0,0.1,0.1,0.1,3,0,20,28,71.4,4,24,2,6,4,Match Report
Hulk,2023-03-08,Wed,Libertadores,Third qualifying stage,Away,D 1–1,br Atlético Mineiro,co Millonarios,Y*,Centroavante,90,0,0,0,0,5,2,1,0,50,0,0,1,0.3,0.3,0.0,1,0,20,30,66.7,2,28,4,5,2,Match Report
Hulk,2023-03-15,Wed,Libertadores,Third qualifying stage,Home,W 3–1,br Atlético Mineiro,co Millonarios,Y*,Centroavante,89,1,1,0,0,5,1,1,0,35,0,0,0,0.3,0.3,0.6,3,2,16,19,84.2,3,24,1,4,2,Match Report
Hulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hulk,2023-04-15,Sat,Série A,Matchweek 1,Home,L 1–2,Atlético Mineiro,Vasco da Gama,Y*,Centroavante,90,0,0,0,0,6,3,1,0,48,0,0,1,0.2,0.2,0.2,11,0,14,30,46.7,1,33,3,3,3,Match Report
Hulk,2023-04-18,Tue,Libertadores,Group stage,Away,L 1–2,br Atlético Mineiro,br Ath Paranaense,Y*,Centroavante,90,0,1,0,0,8,2,0,0,43,1,0,0,0.2,0.2,0.9,10,1,12,21,57.1,6,27,6,6,3,Match Report
Hulk,2023-04-23,Sun,Série A,Matchweek 2,Away,D 0–0,Atlético Mineiro,Santos,Y*,Centroavante,90,0,0,0,0,4,2,0,0,46,0,0,0,0.1,0.1,0.1,3,0,13,25,52.0,3,21,3,11,6,Match Report
Hulk,2023-04-29,Sat,Série A,Matchweek 3,Home,W 2–1,Atlético Mineiro,Ath Paranaense,Y*,Centroavante,90,2,0,0,0,5,2,0,0,42,1,0,0,0.5,0.5,0.2,7,1,19,27,70.4,4,31,6,8,2,Match Report
Hulk,2023-05-03,Wed,Libertadores,Group stage,Home,W 2–0,br Atlético Mineiro,pe Alianza Lima,Y*,Centroavante,90,0,0,0,1,8,0,0,0,42,0,0,0,1.1,0.3,0.2,5,1,20,28,71.4,4,23,1,1,0,Match Report
Hulk,2023-05-07,Sun,Série A,Matchweek 4,Away,L 0–2,Atlético Mineiro,Botafogo (RJ),Y*,Centroavante,90,0,0,0,0,2,0,0,0,34,0,0,0,0.2,0.2,0.0,2,0,16,26,61.5,2,20,3,4,3,Match Report
Hulk,2023-05-10,Wed,Série A,Matchweek 5,Away,W 4–0,Atlético Mineiro,Cuiabá,Y*,Centroavante,90,1,1,1,1,2,2,0,0,43,0,0,0,0.9,0.1,0.4,4,3,23,33,69.7,8,30,5,5,2,Match Report
Hulk,2023-05-13,Sat,Série A,Matchweek 6,Home,W 2–0,Atlético Mineiro,Internacional,N,Centroavante,29,0,1,0,0,1,1,0,0,22,0,0,0,0.1,0.1,0.7,5,1,8,15,53.3,2,13,2,3,1,Match Report
