Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Islam Slimani,2023-01-01,Sun,Ligue 1,Matchweek 17,Away,L 0–1,Brest,Monaco,Y,FW,69,0,0,0,0,2,0,1,0,37,2,0,0,0.1,0.1,0.0,2,0,17,26,65.4,2,33,4,3,1,Match Report
Islam Slimani,2023-01-07,Sat,Coupe de France,Round of 64,Away,W 2–0,Brest,US Avranches,Y,FW,90,0,2,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,Match Report
Islam Slimani,2023-01-11,Wed,Ligue 1,Matchweek 18,Home,D 0–0,Brest,Lille,N,FW,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,5,0,0,0,Match Report
Islam Slimani,2023-01-15,Sun,Ligue 1,Matchweek 19,Away,D 1–1,Brest,Toulouse,N,FW,21,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,7,0,0,0,Match Report
Islam Slimani,2023-01-22,Sun,Coupe de France,Round of 32,Home,L 1–3,Brest,Lens,Y,FW,70,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Islam Slimani,2023-01-29,Sun,Ligue 1,Matchweek 20,Home,W 4–0,Brest,Angers,N,FW,26,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,1,1,Match Report
Islam Slimani,2023-02-03,Fri,Pro League A,Regular season,Away,W 2–0,Anderlecht,Oostende,N,FW,19,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,3,7,42.9,1,8,0,1,0,Match Report
Islam Slimani,2023-02-12,Sun,Pro League A,Regular season,Home,W 3–1,Anderlecht,Sint-Truiden,N,FW,14,1,0,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.1,1,0,3,4,75.0,0,3,0,0,0,Match Report
Islam Slimani,2023-02-16,Thu,Conf Lg,Knockout round play-offs,Away,L 0–1,be Anderlecht,bg Ludogorets,Y,FW,67,0,0,0,0,2,0,1,0,35,0,2,0,0.2,0.2,0.0,0,0,22,28,78.6,2,15,0,1,0,Match Report
Islam Slimani,2023-02-19,Sun,Pro League A,Regular season,Away,D 2–2,Anderlecht,Kortrijk,Y,FW,90,0,0,0,0,4,1,0,0,51,0,0,1,0.6,0.6,0.3,3,0,28,40,70.0,2,35,2,2,0,Match Report
Islam Slimani,2023-02-23,Thu,Conf Lg,Knockout round play-offs,Home,W 2–1,be Anderlecht,bg Ludogorets,Y,FW,82,0,1,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.5,3,1,12,21,57.1,3,17,1,0,0,Match Report
Islam Slimani,2023-02-26,Sun,Pro League A,Regular season,Home,D 2–2,Anderlecht,Standard Liège,Y,FW,90,2,0,1,1,2,1,1,0,36,0,1,1,1.3,0.5,0.0,1,0,15,25,60.0,0,23,0,0,0,Match Report
Islam Slimani,2023-03-05,Sun,Pro League A,Regular season,Away,L 0–1,Anderlecht,Gent,Y,FW,78,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.1,4,0,21,28,75.0,1,21,0,0,0,Match Report
Islam Slimani,2023-03-09,Thu,Conf Lg,Round of 16,Home,D 1–1,be Anderlecht,es Villarreal,N,FW,27,0,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,4,0,0,0,Match Report
Islam Slimani,2023-03-12,Sun,Pro League A,Regular season,Home,W 2–0,Anderlecht,Cercle Brugge,Y,FW,87,2,0,0,0,9,4,0,0,40,3,0,0,2.3,2.3,0.3,5,0,12,18,66.7,1,24,0,3,3,Match Report
Islam Slimani,2023-03-16,Thu,Conf Lg,Round of 16,Away,W 1–0,be Anderlecht,es Villarreal,N,FW,28,1,0,0,0,2,1,1,0,22,0,0,1,0.8,0.8,0.0,1,0,8,18,44.4,2,16,1,0,0,Match Report
Islam Slimani,2023-03-19,Sun,Pro League A,Regular season,Away,W 2–0,Anderlecht,OH Leuven,Y,FW,76,1,0,1,1,0,0,0,0,40,1,0,0,0.8,0.0,0.1,3,0,19,33,57.6,0,33,2,2,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
