Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Jonathan Calleri,2023-04-15,Sat,Série A,Matchweek 1,Away,L 1–2,São Paulo,Botafogo (RJ),Y*,FW,90,1,0,0,0,4,3,1,0,26,0,0,0,1.2,1.2,0.1,4,0,14,17,82.4,3,15,1,2,0,Match Report
Jonathan Calleri,2023-04-18,Tue,Sudamericana,Group stage,Home,W 2–0,br São Paulo,ve Acad Pr Cabello,N,,45,0,1,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-04-22,Sat,Série A,Matchweek 2,Home,W 3–0,São Paulo,América (MG),Y,FW,90,1,0,0,0,4,2,0,0,39,0,0,0,1.2,1.2,0.1,5,0,17,23,73.9,1,22,1,2,2,Match Report
Jonathan Calleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Calleri,2023-05-07,Sun,Série A,Matchweek 4,Home,W 2–0,São Paulo,Internacional,N,FW,28,0,1,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.1,1,1,8,10,80.0,1,10,0,0,0,Match Report
Jonathan Calleri,2023-05-11,Thu,Série A,Matchweek 5,Away,D 0–0,São Paulo,Fortaleza,Y*,FW,77,0,0,0,0,2,0,0,0,18,0,0,0,0.2,0.2,0.0,2,0,8,11,72.7,1,7,0,2,0,Match Report
Jonathan Calleri,2023-05-14,Sun,Série A,Matchweek 6,Away,D 1–1,São Paulo,Corinthians,Y,FW,73,0,0,0,0,2,0,0,0,19,0,0,1,0.1,0.1,0.0,0,0,9,9,100.0,1,11,0,3,1,Match Report
Jonathan Calleri,2023-05-20,Sat,Série A,Matchweek 7,Home,W 4–2,São Paulo,Vasco da Gama,Y,FW,76,1,0,0,0,3,2,0,0,24,1,0,1,0.4,0.4,0.0,0,0,8,16,50.0,0,8,1,1,0,Match Report
Jonathan Calleri,2023-05-23,Tue,Sudamericana,Group stage,Away,W 2–0,br São Paulo,ve Acad Pr Cabello,N,,26,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-05-27,Sat,Série A,Matchweek 8,Home,W 2–1,São Paulo,Goiás,Y,FW,90,0,0,0,0,1,0,0,0,31,1,1,1,0.1,0.1,0.0,1,0,11,18,61.1,1,21,1,2,0,Match Report
Jonathan Calleri,2023-06-04,Sun,Série A,Matchweek 9,Away,L 1–2,São Paulo,Grêmio,Y*,FW,90,1,0,0,0,1,1,0,0,31,1,0,0,0.2,0.2,0.0,2,0,14,21,66.7,2,14,0,3,1,Match Report
Jonathan Calleri,2023-06-08,Thu,Sudamericana,Group stage,Home,W 5–0,br São Paulo,co Tolima,Y,FW,45,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-06-11,Sun,Série A,Matchweek 10,Home,L 0–2,São Paulo,Palmeiras,Y,FW,90,0,0,0,0,4,1,0,0,32,0,1,0,0.3,0.3,0.1,2,0,14,22,63.6,0,19,2,1,0,Match Report
Jonathan Calleri,2023-06-21,Wed,Série A,Matchweek 11,Home,W 2–1,São Paulo,Ath Paranaense,Y,FW,90,0,1,0,0,0,0,1,0,33,0,0,1,0.0,0.0,0.1,2,1,13,24,54.2,2,19,4,5,0,Match Report
Jonathan Calleri,2023-06-24,Sat,Série A,Matchweek 12,Away,L 0–1,São Paulo,Cruzeiro,Y,FW,90,0,0,0,0,5,4,0,0,24,0,1,0,0.4,0.4,0.0,1,0,11,15,73.3,2,16,2,1,0,Match Report
Jonathan Calleri,2023-06-27,Tue,Sudamericana,Group stage,Home,W 2–0,br São Paulo,ar Tigre,N,,45,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Calleri,2023-07-16,Sun,Série A,Matchweek 15,Home,W 4–1,São Paulo,Santos,Y,FW,70,2,0,1,1,3,2,0,0,26,1,0,0,1.6,0.8,0.1,4,1,6,14,42.9,1,14,0,4,1,Match Report
Jonathan Calleri,2023-07-22,Sat,Série A,Matchweek 16,Away,L 1–2,São Paulo,Cuiabá,Y*,FW,65,0,0,0,0,2,1,1,0,13,0,0,0,0.2,0.2,0.0,1,0,6,8,75.0,2,5,0,2,1,Match Report
Jonathan Calleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Calleri,2023-08-03,Thu,Sudamericana,Round of 16,Away,L 0–1,br São Paulo,ar San Lorenzo,Y,FW,90,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-08-06,Sun,Série A,Matchweek 18,Home,L 0–2,São Paulo,Atlético Mineiro,Y,FW,90,0,0,0,0,5,1,0,0,27,0,1,1,0.3,0.3,0.0,2,0,8,14,57.1,0,13,0,1,1,Match Report
Jonathan Calleri,2023-08-10,Thu,Sudamericana,Round of 16,Home,W 2–0,br São Paulo,ar San Lorenzo,Y,FW,90,1,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-08-19,Sat,Série A,Matchweek 20,Home,D 0–0,São Paulo,Botafogo (RJ),N,"LW,FW",29,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,3,6,50.0,2,4,0,0,0,Match Report
Jonathan Calleri,2023-08-24,Thu,Sudamericana,Quarter-finals,Away,L 1–2,br São Paulo,ec LDU de Quito,Y,FW,90,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-08-27,Sun,Série A,Matchweek 21,Away,L 1–2,São Paulo,América (MG),N,FW,27,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,3,0,5,6,83.3,0,2,0,0,0,Match Report
Jonathan Calleri,2023-08-31,Thu,Sudamericana,Quarter-finals,Home,W 1-0,br São Paulo,ec LDU de Quito,Y,FW,120,0,0,0,0,5,4,0,0,,,0,,,,,,,,,,,,,,,Match Report
Jonathan Calleri,2023-09-13,Wed,Série A,Matchweek 23,Away,L 1–2,São Paulo,Internacional,Y,FW,78,1,0,1,1,2,0,1,0,27,1,0,1,0.9,0.1,0.0,3,0,12,19,63.2,1,8,1,1,1,Match Report
Jonathan Calleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Calleri,2023-09-27,Wed,Série A,Matchweek 22,Home,W 2–1,São Paulo,Coritiba,N,FW,17,0,0,0,0,0,0,1,0,7,1,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,0,0,0,Match Report
Jonathan Calleri,2023-09-30,Sat,Série A,Matchweek 25,Home,W 2–1,São Paulo,Corinthians,Y,FW,90,2,0,0,0,5,3,1,0,31,0,0,1,1.4,1.4,0.0,3,1,8,12,66.7,2,24,2,2,0,Match Report
