Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Juan Martín Lucero,2023-02-23,Thu,Libertadores,Second qualifying stage,Away,D 0–0,br Fortaleza,uy Maldonado,N,Centroavante,26,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,0,3,0,0,0,Match Report
Juan Martín Lucero,2023-03-02,Thu,Libertadores,Second qualifying stage,Home,W 4–0,br Fortaleza,uy Maldonado,N,Centroavante,16,2,0,0,0,2,2,0,0,8,0,0,0,0.5,0.5,0.0,1,0,3,3,100.0,1,5,0,0,0,Match Report
Juan Martín Lucero,2023-03-09,Thu,Libertadores,Third qualifying stage,Home,L 0–1,br Fortaleza,py Cerro Porteño,N,Centroavante,23,0,0,0,0,0,0,0,0,6,0,0,3,0.0,0.0,0.0,1,0,1,3,33.3,1,2,0,0,0,Match Report
Juan Martín Lucero,2023-03-16,Thu,Libertadores,Third qualifying stage,Away,L 1–2,br Fortaleza,py Cerro Porteño,Y,Centroavante,71,0,0,0,0,3,2,1,0,11,0,0,0,0.3,0.3,0.0,2,0,4,4,100.0,0,7,2,1,0,Match Report
Juan Martín Lucero,2023-04-05,Wed,Sudamericana,Group stage,Home,W 4–0,br Fortaleza,cl Palestino,N,Centroavante,31,1,1,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Juan Martín Lucero,2023-04-15,Sat,Série A,Matchweek 1,Home,D 1–1,Fortaleza,Internacional,Y,Centroavante,85,0,0,0,0,1,0,0,0,23,1,0,1,0.0,0.0,0.1,6,0,8,16,50.0,2,12,0,0,0,Match Report
Juan Martín Lucero,2023-04-20,Thu,Sudamericana,Group stage,Away,W 2–0,br Fortaleza,ar San Lorenzo,Y,Centroavante,17,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Juan Martín Lucero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Martín Lucero,2023-05-14,Sun,Série A,Matchweek 6,Away,D 0–0,Fortaleza,Grêmio,Y,Centroavante,73,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.0,2,0,11,17,64.7,1,7,0,0,0,Match Report
Juan Martín Lucero,2023-05-20,Sat,Série A,Matchweek 7,Away,L 1–2,Fortaleza,América (MG),Y,Centroavante,68,0,0,0,0,2,0,0,0,12,0,0,0,0.2,0.2,0.0,1,0,7,10,70.0,0,5,0,0,0,Match Report
Juan Martín Lucero,2023-05-24,Wed,Sudamericana,Group stage,Home,W 3–2,br Fortaleza,ar San Lorenzo,N,Centroavante,17,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Juan Martín Lucero,2023-05-27,Sat,Série A,Matchweek 8,Home,W 2–0,Fortaleza,Vasco da Gama,Y,Centroavante,78,0,0,0,0,2,0,0,0,9,0,0,0,0.2,0.2,0.0,1,0,4,5,80.0,0,7,0,1,0,Match Report
Juan Martín Lucero,2023-06-03,Sat,Série A,Matchweek 9,Home,D 0–0,Fortaleza,Bahia,N,Centroavante,45,0,0,0,0,2,0,0,0,8,0,0,0,0.2,0.2,0.0,0,0,2,4,50.0,1,5,1,0,0,Match Report
Juan Martín Lucero,2023-06-06,Tue,Sudamericana,Group stage,Away,L 0–1,br Fortaleza,ve Estud Mérida,N,Centroavante,28,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Juan Martín Lucero,2023-06-10,Sat,Série A,Matchweek 10,Away,L 0–2,Fortaleza,Botafogo (RJ),Y,Centroavante,90,0,0,0,0,0,0,0,0,13,2,1,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,1,1,0,Match Report
Juan Martín Lucero,2023-06-21,Wed,Série A,Matchweek 11,Away,W 1–0,Fortaleza,Cruzeiro,N,Centroavante,26,1,0,0,0,1,1,0,0,13,1,0,0,0.9,0.9,0.2,1,0,7,9,77.8,3,9,2,3,2,Match Report
