Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Luis Suárez,2023-04-16,Sun,Série A,Matchweek 1,Home,W 1–0,Grêmio,Santos,Y,Centroavante,90,0,0,0,1,4,2,0,0,45,1,0,0,1.1,0.3,0.0,2,1,25,38,65.8,4,24,2,0,0,Match Report
Luis Suárez,2023-04-22,Sat,Série A,Matchweek 2,Away,L 0–1,Grêmio,Cruzeiro,Y,Centroavante,90,0,0,0,0,2,2,1,0,37,0,0,1,0.1,0.1,0.5,6,0,20,26,76.9,1,20,0,2,1,Match Report
Luis Suárez,2023-04-30,Sun,Série A,Matchweek 3,Away,W 2–1,Grêmio,Cuiabá,Y,Centroavante,90,0,0,0,0,4,2,0,0,34,0,0,2,0.4,0.4,0.0,1,0,19,25,76.0,5,12,2,1,1,Match Report
Luis Suárez,2023-05-07,Sun,Série A,Matchweek 4,Home,D 3–3,Grêmio,Bragantino,Y*,Centroavante,89,1,0,0,0,2,1,0,0,40,1,1,0,0.1,0.1,0.0,0,0,22,31,71.0,3,22,0,0,0,Match Report
Luis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,2023-05-14,Sun,Série A,Matchweek 6,Home,D 0–0,Grêmio,Fortaleza,Y,Centroavante,90,0,0,0,0,3,2,0,0,54,1,0,3,0.1,0.1,0.1,8,0,28,43,65.1,4,38,1,3,1,Match Report
Luis Suárez,2023-05-21,Sun,Série A,Matchweek 7,Home,W 3–1,Grêmio,Internacional,Y,Centroavante,83,1,1,0,0,4,1,0,0,42,0,0,0,0.4,0.4,0.3,5,1,23,30,76.7,1,32,2,1,0,Match Report
Luis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,2023-06-04,Sun,Série A,Matchweek 9,Home,W 2–1,Grêmio,São Paulo,Y,Centroavante,82,0,1,0,0,6,3,0,0,47,1,1,2,0.6,0.6,0.2,5,1,20,28,71.4,5,25,1,2,0,Match Report
Luis Suárez,2023-06-11,Sun,Série A,Matchweek 10,Away,L 0–3,Grêmio,Flamengo,Y,Centroavante,90,0,0,0,0,5,0,1,0,63,1,0,0,0.5,0.5,0.5,10,0,43,54,79.6,4,37,2,2,2,Match Report
Luis Suárez,2023-06-22,Thu,Série A,Matchweek 11,Home,W 3–1,Grêmio,América (MG),Y*,Centroavante,82,1,0,0,0,6,2,0,0,59,0,0,0,0.9,0.9,0.0,3,2,28,41,68.3,4,40,2,11,4,Match Report
Luis Suárez,2023-06-25,Sun,Série A,Matchweek 12,Home,W 5–1,Grêmio,Coritiba,Y,Centroavante,73,1,1,0,0,3,2,0,0,32,0,0,0,0.3,0.3,0.3,3,1,14,24,58.3,2,27,1,4,0,Match Report
Luis Suárez,2023-07-01,Sat,Série A,Matchweek 13,Away,W 2–1,Grêmio,Bahia,Y,Centroavante,76,0,0,0,0,1,1,0,0,30,0,0,0,0.1,0.1,0.0,3,1,18,27,66.7,2,13,0,0,0,Match Report
Luis Suárez,2023-07-09,Sun,Série A,Matchweek 14,Home,L 0–2,Grêmio,Botafogo (RJ),Y,Centroavante,88,0,0,0,0,10,2,0,0,50,0,0,0,0.9,0.9,0.1,3,0,19,30,63.3,5,36,3,4,1,Match Report
Luis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,2023-07-30,Sun,Série A,Matchweek 17,Away,D 1–1,Grêmio,Goiás,Y*,Centroavante,90,0,0,0,0,2,0,0,0,35,0,0,0,0.1,0.1,0.1,2,0,20,30,66.7,6,16,0,0,0,Match Report
Luis Suárez,2023-08-06,Sun,Série A,Matchweek 18,Away,L 0–1,Grêmio,Vasco da Gama,Y*,Centroavante,90,0,0,0,0,3,3,0,0,46,0,0,0,0.1,0.1,0.7,6,0,26,36,72.2,1,31,6,6,4,Match Report
Luis Suárez,2023-08-13,Sun,Série A,Matchweek 19,Home,W 2–1,Grêmio,Fluminense,Y*,Centroavante,90,0,1,0,0,3,1,1,0,36,1,0,0,0.1,0.1,0.4,4,1,20,26,76.9,7,18,0,1,0,Match Report
Luis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,2023-08-27,Sun,Série A,Matchweek 21,Home,W 3–0,Grêmio,Cruzeiro,Y,Centroavante,90,1,1,0,0,2,1,1,0,42,0,0,0,0.3,0.3,0.3,5,1,27,36,75.0,5,24,1,1,0,Match Report
Luis Suárez,2023-09-03,Sun,Série A,Matchweek 22,Home,W 2–0,Grêmio,Cuiabá,Y*,Centroavante,89,1,0,0,0,4,2,0,0,47,3,0,0,0.2,0.2,0.0,4,1,30,38,78.9,2,22,0,3,2,Match Report
Luis Suárez,2023-09-14,Thu,Série A,Matchweek 23,Away,L 0–2,Grêmio,Bragantino,Y*,Centroavante,90,0,0,0,0,2,1,0,0,36,0,0,0,0.4,0.4,0.1,3,0,17,26,65.4,1,22,2,3,0,Match Report
Luis Suárez,2023-09-18,Mon,Série A,Matchweek 15,Away,D 4–4,Grêmio,Corinthians,Y*,Centroavante,80,1,0,0,0,4,2,0,0,47,0,0,0,0.3,0.3,0.2,6,1,23,35,65.7,3,28,1,2,0,Match Report
Luis Suárez,2023-09-21,Thu,Série A,Matchweek 24,Home,W 1–0,Grêmio,Palmeiras,Y*,Centroavante,88,0,1,0,0,3,1,0,0,36,0,0,0,0.2,0.2,0.1,2,1,16,28,57.1,2,18,1,1,0,Match Report
Luis Suárez,2023-09-30,Sat,Série A,Matchweek 25,Away,D 1–1,Grêmio,Fortaleza,Y,Centroavante,90,1,0,0,0,4,1,0,0,47,0,0,0,0.3,0.3,0.0,6,0,33,39,84.6,6,16,1,2,0,Match Report
Luis Suárez,2023-10-08,Sun,Série A,Matchweek 26,Away,L 2–3,Grêmio,Internacional,Y,Centroavante,90,1,0,0,0,1,1,0,0,42,0,0,0,0.1,0.1,0.0,1,1,20,32,62.5,3,24,0,5,0,Match Report
Luis Suárez,2023-10-18,Wed,Série A,Matchweek 27,Home,L 1–2,Grêmio,Ath Paranaense,Y,Centroavante,90,0,1,0,0,4,1,1,0,50,0,0,0,0.7,0.7,0.0,3,1,24,39,61.5,5,34,0,4,2,Match Report
Luis Suárez,2023-10-21,Sat,Série A,Matchweek 28,Away,L 0–3,Grêmio,São Paulo,Y*,Centroavante,90,0,0,0,0,2,2,1,0,49,0,0,0,0.1,0.1,0.0,2,0,23,42,54.8,3,29,0,1,0,Match Report
Luis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
