Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Marcos Leonardo,2023-04-04,Tue,Sudamericana,Group stage,Away,W 1–0,br Santos,bo Blooming,Y,Centroavante,90,0,0,0,0,3,2,1,0,,,0,,,,,,,,,,,,,,,Match Report
Marcos Leonardo,2023-04-16,Sun,Série A,Matchweek 1,Away,L 0–1,Santos,Grêmio,Y,Centroavante,90,0,0,0,0,4,1,0,0,37,0,0,1,0.3,0.3,0.0,0,0,13,24,54.2,1,19,1,3,0,Match Report
Marcos Leonardo,2023-04-20,Thu,Sudamericana,Group stage,Home,D 0–0,br Santos,cl Audax Italiano,Y,Centroavante,76,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Marcos Leonardo,2023-04-23,Sun,Série A,Matchweek 2,Home,D 0–0,Santos,Atlético Mineiro,Y,Centroavante,85,0,0,0,0,1,1,0,0,26,2,0,0,0.1,0.1,0.1,3,0,15,17,88.2,3,12,0,2,1,Match Report
Marcos Leonardo,2023-04-29,Sat,Série A,Matchweek 3,Home,W 3–2,Santos,América (MG),Y,Centroavante,90,1,0,1,1,3,1,0,0,29,0,0,1,1.0,0.2,0.0,1,0,12,14,85.7,1,19,2,3,0,Match Report
Marcos Leonardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Leonardo,2023-05-06,Sat,Série A,Matchweek 4,Away,L 1–2,Santos,Cruzeiro,Y,Centroavante,90,0,1,0,0,3,1,0,0,27,0,0,0,0.1,0.1,0.7,5,1,13,15,86.7,3,15,0,3,1,Match Report
Marcos Leonardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Leonardo,2023-06-06,Tue,Sudamericana,Group stage,Home,L 1–2,br Santos,ar Newell's OB,Y,Centroavante,90,1,0,1,1,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Marcos Leonardo,2023-06-10,Sat,Série A,Matchweek 10,Away,D 0–0,Santos,Coritiba,Y,Centroavante,83,0,0,0,0,3,1,0,0,20,1,0,0,0.2,0.2,0.0,0,0,9,11,81.8,1,14,1,1,1,Match Report
Marcos Leonardo,2023-06-21,Wed,Série A,Matchweek 11,Home,L 0–2,Santos,Corinthians,Y,Centroavante,90,0,0,0,0,4,1,0,0,18,0,0,0,0.5,0.5,0.0,3,0,8,11,72.7,1,8,0,1,0,Match Report
Marcos Leonardo,2023-06-25,Sun,Série A,Matchweek 12,Home,L 2–3,Santos,Flamengo,Y,Centroavante,90,0,0,0,0,3,0,0,0,28,0,1,0,0.3,0.3,0.0,4,1,14,18,77.8,1,11,1,3,1,Match Report
Marcos Leonardo,2023-07-02,Sun,Série A,Matchweek 13,Away,L 0–3,Santos,Cuiabá,Y,Centroavante,90,0,0,0,0,2,1,0,0,22,0,0,1,0.1,0.1,0.0,0,0,9,15,60.0,1,11,3,1,1,Match Report
Marcos Leonardo,2023-07-09,Sun,Série A,Matchweek 14,Home,W 4–3,Santos,Goiás,Y,Centroavante,65,2,1,0,0,2,2,1,0,24,0,0,2,0.7,0.7,0.6,1,1,12,16,75.0,2,12,0,1,0,Match Report
Marcos Leonardo,2023-07-16,Sun,Série A,Matchweek 15,Away,L 1–4,Santos,São Paulo,Y,Centroavante,90,1,0,1,1,0,0,0,0,21,0,0,1,0.8,0.0,0.0,2,0,10,11,90.9,1,14,0,2,0,Match Report
Marcos Leonardo,2023-07-23,Sun,Série A,Matchweek 16,Home,D 2–2,Santos,Botafogo (RJ),Y,Centroavante,85,2,0,0,0,2,2,0,0,23,0,0,1,0.8,0.8,0.0,3,1,8,12,66.7,1,16,0,3,2,Match Report
Marcos Leonardo,2023-07-29,Sat,Série A,Matchweek 17,Away,L 0–1,Santos,Fluminense,Y,Centroavante,90,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,11,2,1,0,Match Report
Marcos Leonardo,2023-08-05,Sat,Série A,Matchweek 18,Home,D 1–1,Santos,Ath Paranaense,Y,Centroavante,90,1,0,1,1,0,0,0,0,13,0,0,0,0.8,0.0,0.0,1,0,9,10,90.0,3,9,0,1,0,Match Report
Marcos Leonardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Leonardo,2023-08-20,Sun,Série A,Matchweek 20,Home,W 2–1,Santos,Grêmio,Y,Centroavante,86,1,0,0,0,5,1,1,0,22,0,0,1,0.3,0.3,0.0,3,0,8,12,66.7,2,13,0,0,0,Match Report
Marcos Leonardo,2023-08-27,Sun,Série A,Matchweek 21,Away,L 0–2,Santos,Atlético Mineiro,Y,Centroavante,90,0,0,0,0,6,0,0,0,30,0,0,0,0.5,0.5,0.0,4,0,15,19,78.9,3,20,1,0,0,Match Report
Marcos Leonardo,2023-09-03,Sun,Série A,Matchweek 22,Away,L 0–2,Santos,América (MG),Y,Centroavante,90,0,0,0,0,1,0,0,0,28,0,0,0,0.4,0.4,0.0,1,0,18,21,85.7,2,26,1,0,0,Match Report
Marcos Leonardo,2023-09-14,Thu,Série A,Matchweek 23,Home,L 0–3,Santos,Cruzeiro,Y,Centroavante,76,0,0,0,0,2,1,0,0,21,0,0,1,0.1,0.1,0.0,3,0,7,11,63.6,3,13,4,5,4,Match Report
Marcos Leonardo,2023-09-18,Mon,Série A,Matchweek 24,Away,W 2–1,Santos,Bahia,Y,Centroavante,89,1,0,0,0,2,2,0,0,20,0,0,0,1.4,1.4,0.2,3,0,8,13,61.5,0,13,2,1,0,Match Report
Marcos Leonardo,2023-10-01,Sun,Série A,Matchweek 25,Home,W 4–1,Santos,Vasco da Gama,Y,Centroavante,87,2,0,1,1,4,2,0,0,26,1,0,0,1.0,0.2,0.1,5,1,13,15,86.7,2,12,5,3,2,Match Report
Marcos Leonardo,2023-10-08,Sun,Série A,Matchweek 26,Away,W 2–1,Santos,Palmeiras,Y,Centroavante,86,1,0,0,0,3,3,0,0,28,1,0,0,0.4,0.4,0.1,4,1,11,15,73.3,2,16,2,1,1,Match Report
Marcos Leonardo,2023-10-19,Thu,Série A,Matchweek 27,Home,L 1–3,Santos,Bragantino,Y,Centroavante,80,0,0,0,0,4,0,0,0,26,0,0,0,0.3,0.3,0.1,3,0,9,15,60.0,3,17,3,2,2,Match Report
Marcos Leonardo,2023-10-22,Sun,Série A,Matchweek 28,Away,L 1–7,Santos,Internacional,Y,Centroavante,90,0,0,0,0,3,1,0,0,17,0,0,0,0.3,0.3,0.0,0,0,5,10,50.0,0,8,1,1,0,Match Report
Marcos Leonardo,2023-10-26,Thu,Série A,Matchweek 29,Home,W 2–1,Santos,Coritiba,Y,Centroavante,89,1,0,0,0,7,4,0,0,27,0,0,0,1.1,1.1,0.0,7,0,11,17,64.7,2,16,0,1,0,Match Report
Marcos Leonardo,2023-10-29,Sun,Série A,Matchweek 30,Away,D 1–1,Santos,Corinthians,Y,Centroavante,78,0,0,0,0,1,0,1,0,23,0,0,0,0.0,0.0,0.0,1,0,8,16,50.0,2,12,1,2,0,Match Report
