Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Matheus Babi,2023-01-05,Thu,Primeira Liga,Matchweek 15,Home,L 0–4,Santa Clara,Braga,N,Centroavante,45,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,11,13,84.6,0,9,0,1,1,Match Report
Matheus Babi,2023-01-13,Fri,Primeira Liga,Matchweek 16,Away,D 0–0,Santa Clara,Portimonense,Y,Centroavante,90,0,0,0,0,2,0,1,0,37,1,0,1,0.0,0.0,0.0,5,0,7,22,31.8,0,21,1,1,0,Match Report
Matheus Babi,2023-01-21,Sat,Primeira Liga,Matchweek 17,Home,L 0–3,Santa Clara,Benfica,Y,Centroavante,63,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,3,0,8,15,53.3,1,6,0,0,0,Match Report
Matheus Babi,2023-01-29,Sun,Primeira Liga,Matchweek 18,Away,L 1–2,Santa Clara,Casa Pia,N,Centroavante,9,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Babi,2023-02-19,Sun,Primeira Liga,Matchweek 21,Home,L 1–3,Santa Clara,Famalicão,N,Centroavante,9,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Babi,2023-03-11,Sat,Primeira Liga,Matchweek 24,Away,L 0–1,Santa Clara,Paços,N,Centroavante,8,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,5,0,0,0,Match Report
Matheus Babi,2023-03-17,Fri,Primeira Liga,Matchweek 25,Home,L 0–2,Santa Clara,Rio Ave,N,Centroavante,7,0,0,0,0,1,0,0,0,5,0,0,1,0.1,0.1,0.0,0,0,1,1,100.0,0,0,0,1,0,Match Report
Matheus Babi,2023-04-01,Sat,Primeira Liga,Matchweek 26,Away,L 0–3,Santa Clara,Sporting CP,N,Centroavante,23,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,6,0,1,1,Match Report
