Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Pablo Vegetti,2023-01-29,Sun,Primera Div,Matchweek 1,Away,D 0–0,Club Atlético Belgrano,Racing Club,Y*,Centroavante,89,0,0,0,0,4,0,0,0,46,0,0,0,0.3,0.3,0.0,2,0,23,33,69.7,4,14,0,3,0,Match Report
Pablo Vegetti,2023-02-04,Sat,Primera Div,Matchweek 2,Home,W 2–1,Club Atlético Belgrano,River Plate,Y*,Centroavante,81,2,0,0,0,2,2,0,0,35,0,0,1,0.7,0.7,0.0,0,0,9,21,42.9,1,22,1,1,0,Match Report
Pablo Vegetti,2023-02-10,Fri,Primera Div,Matchweek 3,Away,W 1–0,Club Atlético Belgrano,CC Córdoba,Y*,Centroavante,89,1,0,0,0,7,1,0,0,36,0,0,3,0.6,0.6,0.0,1,0,16,20,80.0,3,20,2,1,1,Match Report
Pablo Vegetti,2023-02-18,Sat,Primera Div,Matchweek 4,Away,L 0–3,Club Atlético Belgrano,Argentinos Jun,Y*,Centroavante,90,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.1,2,0,13,16,81.3,0,8,0,1,0,Match Report
Pablo Vegetti,2023-02-24,Fri,Primera Div,Matchweek 5,Home,L 0–2,Club Atlético Belgrano,Tigre,Y*,Centroavante,90,0,0,0,0,1,0,1,0,30,0,0,1,0.0,0.0,0.0,0,0,10,18,55.6,1,22,0,0,0,Match Report
Pablo Vegetti,2023-03-06,Mon,Primera Div,Matchweek 6,Away,W 1–0,Club Atlético Belgrano,Arsenal,Y*,Centroavante,61,1,0,1,1,6,1,0,0,26,0,0,0,1.2,0.5,0.1,3,1,12,15,80.0,0,12,2,1,1,Match Report
Pablo Vegetti,2023-03-11,Sat,Primera Div,Matchweek 7,Home,D 0–0,Club Atlético Belgrano,Lanús,Y*,Centroavante,90,0,0,0,0,1,0,0,0,25,1,0,0,0.1,0.1,0.0,1,0,12,20,60.0,3,11,0,0,0,Match Report
Pablo Vegetti,2023-03-18,Sat,Primera Div,Matchweek 8,Away,L 1–3,Club Atlético Belgrano,Godoy Cruz,Y*,Centroavante,90,0,1,0,0,5,3,0,0,25,0,0,0,0.7,0.7,0.8,4,1,11,15,73.3,0,5,0,0,0,Match Report
Pablo Vegetti,2023-04-03,Mon,Primera Div,Matchweek 9,Home,D 0–0,Club Atlético Belgrano,Sarmiento,Y*,Centroavante,90,0,0,0,0,4,0,0,0,25,0,0,0,0.1,0.1,0.2,1,0,8,17,47.1,0,15,2,0,0,Match Report
Pablo Vegetti,2023-04-08,Sat,Primera Div,Matchweek 10,Away,W 3–0,Club Atlético Belgrano,CA Unión,Y*,Centroavante,90,1,0,1,1,4,1,0,0,28,2,0,0,1.5,0.7,0.0,1,0,7,16,43.8,1,14,2,2,1,Match Report
