Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Pedro,2023-04-05,Wed,Libertadores,Group stage,Away,L 1–2,br Flamengo,ec SD Aucas,N,Centroavante,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,5,0,0,0,Match Report
Pedro,2023-04-16,Sun,Série A,Matchweek 1,Home,W 3–0,Flamengo,Coritiba,N,Centroavante,15,1,0,0,0,1,1,0,0,10,0,1,0,0.1,0.1,0.0,1,1,6,7,85.7,3,9,0,1,1,Match Report
Pedro,2023-04-19,Wed,Libertadores,Group stage,Home,W 2–0,br Flamengo,cl Ñublense,Y,Centroavante,88,2,0,0,0,4,4,0,0,40,0,0,1,1.0,1.0,0.3,5,1,24,29,82.8,5,25,1,6,4,Match Report
Pedro,2023-04-23,Sun,Série A,Matchweek 2,Away,L 1–2,Flamengo,Internacional,Y,Centroavante,69,0,0,0,0,2,1,0,0,14,0,1,1,0.1,0.1,0.0,1,0,4,6,66.7,1,8,0,2,1,Match Report
Pedro,2023-04-30,Sun,Série A,Matchweek 3,Home,L 2–3,Flamengo,Botafogo (RJ),Y,Centroavante,90,0,0,0,0,3,2,0,0,20,1,1,0,0.7,0.7,0.0,1,0,8,13,61.5,1,16,1,0,0,Match Report
Pedro,2023-05-04,Thu,Libertadores,Group stage,Away,D 1–1,br Flamengo,ar Racing Club,Y,Centroavante,64,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,9,0,2,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro,2023-05-10,Wed,Série A,Matchweek 5,Home,W 2–0,Flamengo,Goiás,Y,Centroavante,11,1,0,1,1,0,0,0,0,3,0,0,0,0.8,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro,2023-05-21,Sun,Série A,Matchweek 7,Home,W 1–0,Flamengo,Corinthians,Y,Centroavante,52,0,0,0,0,1,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,4,6,66.7,0,3,0,1,0,Match Report
