Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Tiquinho Soares,2023-04-06,Thu,Sudamericana,Group stage,Away,D 2–2,br Botafogo (RJ),cl Deportes Magallanes,Y,Centroavante,90,1,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Tiquinho Soares,2023-04-15,Sat,Série A,Matchweek 1,Home,W 2–1,Botafogo (RJ),São Paulo,Y,Centroavante,90,1,0,0,0,2,1,0,0,39,1,0,0,0.2,0.2,0.0,0,0,16,27,59.3,2,27,1,3,1,Match Report
Tiquinho Soares,2023-04-20,Thu,Sudamericana,Group stage,Home,W 4–0,br Botafogo (RJ),pe U César Vallejo,Y,Centroavante,65,1,0,1,1,4,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Tiquinho Soares,2023-04-24,Mon,Série A,Matchweek 2,Away,W 2–1,Botafogo (RJ),Bahia,Y,Centroavante,90,0,2,0,0,0,0,1,0,37,0,0,0,0.0,0.0,0.2,3,2,19,28,67.9,1,13,0,2,2,Match Report
Tiquinho Soares,2023-04-30,Sun,Série A,Matchweek 3,Away,W 3–2,Botafogo (RJ),Flamengo,Y,Centroavante,90,2,0,1,1,5,2,1,0,33,1,0,0,1.4,0.6,0.2,2,1,15,22,68.2,1,24,2,2,2,Match Report
Tiquinho Soares,2023-05-04,Thu,Sudamericana,Group stage,Home,D 0–0,br Botafogo (RJ),ec LDU de Quito,Y,Centroavante,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
Tiquinho Soares,2023-05-07,Sun,Série A,Matchweek 4,Home,W 2–0,Botafogo (RJ),Atlético Mineiro,N,Centroavante,20,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,0,1,1,Match Report
Tiquinho Soares,2023-05-11,Thu,Série A,Matchweek 5,Home,W 3–0,Botafogo (RJ),Corinthians,Y,Centroavante,85,2,0,1,1,2,1,0,0,48,1,1,0,1.8,1.0,0.0,4,1,26,33,78.8,0,33,0,7,4,Match Report
Tiquinho Soares,2023-05-14,Sun,Série A,Matchweek 6,Away,L 1–2,Botafogo (RJ),Goiás,Y,Centroavante,90,1,0,1,1,5,0,0,0,51,0,0,1,1.0,0.3,0.0,4,1,15,30,50.0,2,27,2,7,1,Match Report
Tiquinho Soares,2023-05-20,Sat,Série A,Matchweek 7,Home,W 1–0,Botafogo (RJ),Fluminense,Y,Centroavante,90,0,1,0,0,7,0,1,0,33,0,0,1,0.4,0.4,0.7,5,1,14,19,73.7,1,25,1,1,1,Match Report
Tiquinho Soares,2023-05-25,Thu,Sudamericana,Group stage,Away,W 3–2,br Botafogo (RJ),pe U César Vallejo,Y,Centroavante,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
Tiquinho Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiquinho Soares,2023-06-03,Sat,Série A,Matchweek 9,Away,L 0–1,Botafogo (RJ),Ath Paranaense,Y,Centroavante,90,0,0,0,0,4,1,0,0,37,0,0,0,0.2,0.2,0.2,7,0,21,29,72.4,2,24,0,3,1,Match Report
Tiquinho Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiquinho Soares,2023-06-10,Sat,Série A,Matchweek 10,Home,W 2–0,Botafogo (RJ),Fortaleza,Y,Centroavante,87,2,0,0,1,5,3,1,0,34,1,0,0,1.9,1.1,0.0,3,1,17,20,85.0,3,22,1,3,1,Match Report
Tiquinho Soares,2023-06-22,Thu,Série A,Matchweek 11,Away,W 1–0,Botafogo (RJ),Cuiabá,Y,Centroavante,87,1,0,1,1,0,0,0,0,30,0,0,1,0.8,0.0,0.0,0,0,16,21,76.2,3,13,1,1,0,Match Report
Tiquinho Soares,2023-06-25,Sun,Série A,Matchweek 12,Away,W 1–0,Botafogo (RJ),Palmeiras,Y,Centroavante,83,1,0,0,0,2,1,0,0,32,0,0,0,0.1,0.1,0.0,0,0,14,19,73.7,0,21,1,2,2,Match Report
Tiquinho Soares,2023-06-29,Thu,Sudamericana,Group stage,Home,D 1–1,br Botafogo (RJ),cl Deportes Magallanes,Y,Centroavante,90,0,0,0,0,6,1,1,0,,,0,,,,,,,,,,,,,,,Match Report
Tiquinho Soares,2023-07-02,Sun,Série A,Matchweek 13,Home,W 2–0,Botafogo (RJ),Vasco da Gama,Y,Centroavante,83,0,1,0,0,3,1,0,0,46,3,0,1,0.4,0.4,0.3,4,1,27,34,79.4,4,28,1,0,0,Match Report
Tiquinho Soares,2023-07-09,Sun,Série A,Matchweek 14,Away,W 2–0,Botafogo (RJ),Grêmio,Y,Centroavante,84,0,0,0,0,1,0,1,0,35,0,0,1,0.1,0.1,0.0,1,0,12,22,54.5,3,21,1,2,1,Match Report
Tiquinho Soares,2023-07-15,Sat,Série A,Matchweek 15,Home,W 2–0,Botafogo (RJ),Bragantino,Y,Centroavante,89,0,0,0,0,1,0,0,0,31,0,0,1,0.0,0.0,0.0,0,0,13,18,72.2,2,18,4,1,0,Match Report
Tiquinho Soares,2023-07-23,Sun,Série A,Matchweek 16,Away,D 2–2,Botafogo (RJ),Santos,Y,Centroavante,90,1,0,0,0,6,2,0,0,34,0,0,0,0.6,0.6,0.0,5,0,13,19,68.4,2,20,0,4,4,Match Report
Tiquinho Soares,2023-07-30,Sun,Série A,Matchweek 17,Home,W 4–1,Botafogo (RJ),Coritiba,Y,Centroavante,68,2,0,0,0,3,2,0,0,37,0,0,1,0.4,0.4,0.0,1,0,20,30,66.7,4,24,0,3,2,Match Report
Tiquinho Soares,2023-08-02,Wed,Sudamericana,Round of 16,Home,W 2–1,br Botafogo (RJ),py Guaraní,N,Centroavante,45,1,0,1,1,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
Tiquinho Soares,2023-08-06,Sun,Série A,Matchweek 18,Away,D 0–0,Botafogo (RJ),Cruzeiro,Y,Centroavante,44,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,0,7,0,0,0,Match Report
Tiquinho Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiquinho Soares,2023-09-02,Sat,Série A,Matchweek 22,Home,L 1–2,Botafogo (RJ),Flamengo,Y,Centroavante,56,0,0,0,0,2,1,0,0,14,0,0,0,0.1,0.1,0.0,2,0,7,10,70.0,3,13,2,2,2,Match Report
Tiquinho Soares,2023-09-16,Sat,Série A,Matchweek 23,Away,L 0–1,Botafogo (RJ),Atlético Mineiro,Y,Centroavante,66,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,8,14,57.1,1,20,0,1,0,Match Report
Tiquinho Soares,2023-09-22,Fri,Série A,Matchweek 24,Away,L 0–1,Botafogo (RJ),Corinthians,Y,Centroavante,64,0,0,0,0,2,0,0,0,24,0,1,0,0.0,0.0,0.0,2,0,14,20,70.0,1,19,1,2,1,Match Report
Tiquinho Soares,2023-10-02,Mon,Série A,Matchweek 25,Home,D 1–1,Botafogo (RJ),Goiás,N,Centroavante,45,1,0,0,0,2,1,1,0,23,0,0,1,0.0,0.0,0.0,1,0,10,15,66.7,3,19,1,0,0,Match Report
Tiquinho Soares,2023-10-08,Sun,Série A,Matchweek 26,Away,W 2–0,Botafogo (RJ),Fluminense,Y,Centroavante,84,1,0,0,0,1,1,0,0,27,0,0,1,0.6,0.6,0.1,2,0,13,17,76.5,0,15,1,1,0,Match Report
Tiquinho Soares,2023-10-18,Wed,Série A,Matchweek 27,Away,W 2–1,Botafogo (RJ),América (MG),Y,Centroavante,81,0,0,0,0,0,0,0,0,39,3,1,1,0.0,0.0,0.2,3,1,23,26,88.5,3,14,0,1,1,Match Report
Tiquinho Soares,2023-10-22,Sun,Série A,Matchweek 28,Home,D 1–1,Botafogo (RJ),Ath Paranaense,Y,Centroavante,90,1,0,0,0,4,2,0,0,32,3,0,0,0.2,0.2,0.0,1,0,14,18,77.8,0,18,0,5,2,Match Report
Tiquinho Soares,2023-10-29,Sun,Série A,Matchweek 30,Home,L 0–1,Botafogo (RJ),Cuiabá,Y,Centroavante,90,0,0,0,0,5,2,0,0,39,0,0,1,0.3,0.3,0.4,10,0,23,30,76.7,3,25,1,2,1,Match Report
Tiquinho Soares,2023-11-01,Wed,Série A,Matchweek 31,Home,L 3–4,Botafogo (RJ),Palmeiras,Y,Centroavante,90,0,0,0,1,2,1,1,0,44,0,0,1,1.0,0.2,0.0,7,1,26,31,83.9,1,23,2,2,2,Match Report
