Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Vitor Roque,2023-03-25,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,br Brazil,ma Morocco,N,Centroavante,26,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
Vitor Roque,2023-04-04,Tue,Libertadores,Group stage,Away,D 0–0,br Ath Paranaense,pe Alianza Lima,Y,Centroavante,76,0,0,0,0,2,1,0,0,24,0,0,2,0.5,0.5,0.2,5,0,9,13,69.2,2,11,3,5,2,Match Report
Vitor Roque,2023-04-15,Sat,Série A,Matchweek 1,Home,W 2–0,Ath Paranaense,Goiás,N,Centroavante,9,0,0,0,0,1,0,0,0,4,1,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,4,1,0,0,Match Report
Vitor Roque,2023-04-18,Tue,Libertadores,Group stage,Home,W 2–1,br Ath Paranaense,br Atlético Mineiro,Y,Centroavante,77,1,0,0,0,1,1,0,0,15,2,0,0,0.1,0.1,0.0,0,0,4,5,80.0,1,6,1,1,0,Match Report
Vitor Roque,2023-04-22,Sat,Série A,Matchweek 2,Away,L 0–2,Ath Paranaense,Fluminense,N,Centroavante,26,0,0,0,0,1,0,0,0,11,0,0,1,0.2,0.2,0.0,3,0,4,5,80.0,0,5,1,3,1,Match Report
Vitor Roque,2023-04-29,Sat,Série A,Matchweek 3,Away,L 1–2,Ath Paranaense,Atlético Mineiro,Y,Centroavante,90,1,0,0,0,1,1,0,0,25,0,1,0,0.2,0.2,0.0,1,0,9,11,81.8,2,20,1,8,4,Match Report
Vitor Roque,2023-05-04,Thu,Libertadores,Group stage,Away,W 2–1,br Ath Paranaense,py Libertad,Y,Centroavante,90,0,0,0,0,0,0,0,0,18,2,0,2,0.0,0.0,0.0,0,0,5,8,62.5,0,11,1,2,0,Match Report
Vitor Roque,2023-05-07,Sun,Série A,Matchweek 4,Home,W 2–1,Ath Paranaense,Flamengo,Y,Centroavante,88,1,0,0,0,2,1,0,0,26,4,0,2,0.3,0.3,0.1,2,0,11,17,64.7,4,16,3,1,1,Match Report
Vitor Roque,2023-05-10,Wed,Série A,Matchweek 5,Away,W 2–0,Ath Paranaense,Internacional,Y,Centroavante,89,0,0,0,0,3,2,0,0,20,0,0,0,0.6,0.6,0.1,6,0,7,11,63.6,1,11,5,6,4,Match Report
Vitor Roque,2023-05-14,Sun,Série A,Matchweek 6,Home,W 3–2,Ath Paranaense,Coritiba,Y,Centroavante,90,0,1,0,0,5,1,0,0,28,1,0,0,0.8,0.8,0.2,4,1,9,15,60.0,1,16,0,4,1,Match Report
