Nome,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
Yuri Alberto,2023-03-25,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,br Brazil,ma Morocco,N,Centroavante,6,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
Yuri Alberto,2023-04-06,Thu,Libertadores,Group stage,Away,W 3–0,br Corinthians,uy Liverpool,Y,Centroavante,82,0,0,0,0,1,1,0,0,29,1,0,0,0.1,0.1,0.1,5,1,16,25,64.0,2,18,3,3,2,Match Report
Yuri Alberto,2023-04-16,Sun,Série A,Matchweek 1,Home,W 2–1,Corinthians,Cruzeiro,Y,Centroavante,90,0,0,0,0,3,1,0,0,24,2,0,1,0.2,0.2,0.0,2,0,15,16,93.8,0,17,1,2,2,Match Report
Yuri Alberto,2023-04-19,Wed,Libertadores,Group stage,Home,L 0–1,br Corinthians,ar Argentinos Jun,Y,Centroavante,90,0,0,0,0,2,0,1,0,18,0,0,1,0.1,0.1,0.1,1,0,7,10,70.0,3,12,0,1,0,Match Report
Yuri Alberto,2023-04-23,Sun,Série A,Matchweek 2,Away,L 1–3,Corinthians,Goiás,Y,Centroavante,90,0,0,0,0,1,0,0,0,28,0,0,1,0.0,0.0,0.0,2,0,15,21,71.4,4,17,3,1,0,Match Report
Yuri Alberto,2023-04-29,Sat,Série A,Matchweek 3,Away,L 1–2,Corinthians,Palmeiras,Y,Centroavante,68,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.1,2,0,10,15,66.7,0,14,2,1,0,Match Report
Yuri Alberto,2023-05-02,Tue,Libertadores,Group stage,Home,L 1–2,br Corinthians,ec Independiente,Y,Centroavante,56,0,0,0,0,4,1,0,0,19,1,0,0,0.3,0.3,0.0,2,0,10,10,100.0,2,9,1,0,0,Match Report
Yuri Alberto,2023-05-08,Mon,Série A,Matchweek 4,Home,D 1–1,Corinthians,Fortaleza,N,Centroavante,25,1,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.0,1,1,4,5,80.0,1,6,0,2,0,Match Report
Yuri Alberto,2023-05-11,Thu,Série A,Matchweek 5,Away,L 0–3,Corinthians,Botafogo (RJ),Y,Centroavante,90,0,0,0,0,3,1,0,0,41,0,0,2,0.1,0.1,0.0,2,0,25,31,80.6,1,21,2,5,4,Match Report
Yuri Alberto,2023-05-14,Sun,Série A,Matchweek 6,Home,D 1–1,Corinthians,São Paulo,Y,Centroavante,84,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,1,14,18,77.8,2,15,0,3,2,Match Report
Yuri Alberto,2023-05-21,Sun,Série A,Matchweek 7,Away,L 0–1,Corinthians,Flamengo,Y,Centroavante,89,0,0,0,0,3,1,0,0,29,2,0,1,0.6,0.6,0.0,2,0,11,18,61.1,2,10,1,1,0,Match Report
Yuri Alberto,2023-05-24,Wed,Libertadores,Group stage,Away,D 0–0,br Corinthians,ar Argentinos Jun,Y,Centroavante,90,0,0,0,0,1,0,0,0,29,1,0,1,0.1,0.1,0.0,2,0,9,17,52.9,0,13,1,2,0,Match Report
Yuri Alberto,2023-05-28,Sun,Série A,Matchweek 8,Home,W 2–0,Corinthians,Fluminense,Y,Centroavante,89,0,1,0,0,2,0,0,0,27,0,0,0,0.2,0.2,0.9,2,1,11,20,55.0,0,20,4,3,2,Match Report
Yuri Alberto,2023-06-03,Sat,Série A,Matchweek 9,Away,L 0–2,Corinthians,América (MG),Y,Centroavante,85,0,0,0,0,0,0,0,0,29,1,0,2,0.0,0.0,0.0,0,0,14,22,63.6,0,12,0,0,0,Match Report
Yuri Alberto,2023-06-07,Wed,Libertadores,Group stage,Away,L 0–3,br Corinthians,ec Independiente,Y,Centroavante,90,0,0,0,0,1,0,0,0,29,0,0,1,0.0,0.0,0.0,2,0,16,23,69.6,2,18,0,2,1,Match Report
Yuri Alberto,2023-06-10,Sat,Série A,Matchweek 10,Home,D 1–1,Corinthians,Cuiabá,N,Centroavante,30,0,0,0,0,4,1,0,0,11,1,0,0,0.2,0.2,0.0,2,1,3,5,60.0,1,5,0,1,1,Match Report
